                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.075,                 1.7227,                 1.5388,                0.11151,                0.13182,                0.03336,                0.01275,                 3.2216,                 4.8059,                 2.4448,             0.00065979,             0.00065979,             0.00065979
                      2,                 1.9055,                 1.4776,                  1.493,                 0.1204,                0.54091,                0.08838,                0.03909,                    nan,                    nan,                    nan,              0.0012608,              0.0012608,              0.0012608
                      3,                 1.8575,                 1.4726,                 1.4631,                0.53779,                0.53864,                0.53006,                0.23544,                 1.7355,                 1.6839,                 1.5189,              0.0017958,              0.0017958,              0.0017958
                      4,                 1.8251,                 1.4776,                 1.4447,                0.37992,                0.35682,                0.25322,                0.10385,                 1.9692,                 1.9345,                 1.6051,               0.001703,               0.001703,               0.001703
                      5,                 1.7882,                 1.3848,                 1.4083,                0.67205,                0.52629,                0.56601,                0.29621,                 1.6809,                 1.5594,                 1.3669,               0.001604,               0.001604,               0.001604
                      6,                 1.7035,                 1.3318,                 1.3424,                0.72533,                0.64318,                0.66872,                0.35754,                 1.5602,                  1.222,                 1.3482,               0.001505,               0.001505,               0.001505
                      7,                 1.6332,                 1.2645,                 1.3392,                0.61277,                0.66174,                 0.6634,                0.33015,                 1.7023,                 1.3179,                 1.4086,               0.001406,               0.001406,               0.001406
                      8,                 1.5864,                 1.2246,                 1.3215,                0.75506,                0.70759,                0.78104,                0.43811,                  1.463,                 1.0616,                 1.2767,               0.001307,               0.001307,               0.001307
                      9,                 1.5365,                 1.1811,                 1.2785,                0.73634,                0.68864,                0.75542,                0.40731,                 1.5453,                 1.1446,                 1.3529,               0.001208,               0.001208,               0.001208
                     10,                 1.5381,                 1.1559,                 1.2896,                0.85824,                0.67955,                0.82205,                0.48861,                 1.3907,                 1.0132,                 1.2496,               0.001109,               0.001109,               0.001109
                     11,                 1.3651,                 1.0349,                 1.2495,                0.81723,                0.72273,                0.83344,                0.46842,                 1.4084,                  1.033,                 1.2602,                0.00101,                0.00101,                0.00101
                     12,                 1.3126,                0.89673,                  1.226,                0.83213,                0.74091,                0.85633,                0.51975,                 1.3457,                0.91676,                 1.2282,               0.000911,               0.000911,               0.000911
                     13,                 1.3187,                0.88363,                 1.2291,                0.81396,                0.67955,                0.79996,                0.41457,                 1.6932,                 1.0665,                 1.4891,               0.000812,               0.000812,               0.000812
                     14,                 1.2693,                0.84837,                 1.2043,                0.87841,                0.74091,                0.87369,                 0.5214,                  1.336,                0.90959,                 1.2136,               0.000713,               0.000713,               0.000713
                     15,                 1.2194,                0.81715,                 1.1773,                0.88444,                  0.775,                0.89924,                 0.5689,                 1.2735,                 0.8178,                 1.1804,               0.000614,               0.000614,               0.000614
                     16,                 1.1821,                0.78656,                 1.1569,                0.88769,                0.73649,                0.88155,                0.55164,                 1.3042,                0.87559,                 1.1857,               0.000515,               0.000515,               0.000515
                     17,                 1.1558,                0.74862,                 1.1328,                0.92518,                0.75227,                0.90428,                0.56874,                 1.3112,                0.77868,                 1.1962,               0.000416,               0.000416,               0.000416
                     18,                 1.1213,                0.72049,                 1.1103,                0.91099,                 0.7676,                0.90649,                0.57899,                 1.2667,                 0.7737,                 1.1838,               0.000317,               0.000317,               0.000317
                     19,                 1.0924,                0.70913,                 1.0977,                0.90015,                0.77855,                0.90419,                0.56713,                 1.2833,                0.77753,                 1.1927,               0.000218,               0.000218,               0.000218
                     20,                 1.0462,                 0.6814,                 1.0843,                0.91617,                0.77003,                0.91343,                0.60218,                 1.2089,                0.74326,                 1.1418,               0.000119,               0.000119,               0.000119
